,blockArea,floorSum,groundSum,Pop,DensityB,DensityF,DensityG
22,326195.263585483,23629.401397500198,335574.4645435895,2.0,6.131296874198415,84.64031595026287,5.9599290509788165
23,326195.263585483,15128.676842322986,333634.78084972635,139.0,426.1251327567898,9187.849105953721,416.6232298862375
24,326195.263585483,68.84585750002468,326229.686514233,205.0,628.4579296053375,2977666.448557584,628.3916163192466
25,326195.26358439145,5160.694187088738,326195.26358439145,205.0,628.4579296074405,39723.33809526603,628.4579296074405
26,326204.6476146281,284389.93736453727,553270.5021184415,41.0,125.68797011266564,144.16825145063166,74.10480017100734
27,326204.6476146281,3612.4133209755514,327618.24963830656,1.0,3.0655602466503815,276.8232511472261,3.0523330159538085
28,326204.6476146281,16449.354729548628,333381.76251789276,1.0,3.0655602466503815,60.79265821921029,2.9995642006551857
29,326204.6476146281,41496.68955587795,343295.1199055178,1.0,3.0655602466503815,24.098307857869866,2.9129455736953718
30,326204.64761353645,13872.482414797172,332183.8099734058,1.0,3.06556024666064,72.08515174856835,3.0103815116096677
31,326214.0346676949,388272.74063576304,639331.4889497788,41.0,125.68435334722969,105.59587555094917,64.12948635980709
32,326223.424748367,242712.05601166774,517671.8296813107,3877.0,11884.492975912231,15973.660574214013,7489.300706949343
33,326223.4247472753,622873.0627522706,812459.3328304891,3877.0,11884.492975952002,6224.382192527023,4771.931151917599
34,326223.42474618356,350514.6195523465,612096.6566165212,18.0,55.17690832289191,51.3530648821107,29.40712027328881
35,326223.4247472753,375066.0532195187,612117.8639016219,18.0,55.176908322707256,47.99154667688616,29.406101441425857
36,326223.4247472753,84189.34212008429,368785.30621417146,10.0,30.65383795705959,118.77988054279368,27.116047823750648
37,326232.81784844474,127089.76561512909,434204.8815756344,13947.0,42751.6768300093,109741.33072395653,32120.7812067644
38,326232.8178495365,604620.0819550399,801644.8765104145,3877.0,11884.150790090442,6412.291148953761,4836.306092139831
39,326232.81784844474,365049.3268258156,605574.7095547132,3877.0,11884.150790130212,10620.482535090176,6402.182817130536
40,326232.817847353,253433.15707761265,509249.4850807518,18.0,55.175319634526616,71.02464495001966,35.34613294139264
41,326232.81784844474,175336.00793968534,446271.09303584107,18.0,55.17531963434197,102.66003094009021,40.334227963437414
